Region #,Region,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
E10000018,Leicestershire,12.457,0.0286,0.09,0.078,17.343,-0.567,-0.201,17.723,13.057
E10000019,Lincolnshire,20.609,0.1442,0.132,0.118,23.145,0.102,-0.476,23.13,21.168
E10000020,Norfolk,21.158,0.1453,0.132,0.118,29.311,-0.039,-0.545,24.479,21.282
E10000021,Northamptonshire,18.936,0.1625,0.122,0.103,24.051,-0.158,-0.019,22.84,15.966
E10000023,North Yorkshire,14.646,0.0563,0.092,0.085,16.07,-0.505,-0.747,24.044,23.275
E10000024,Nottinghamshire,18.85,0.1426,0.128,0.122,22.963,-0.019,-0.179,16.039,15.847
E10000025,Oxfordshire,11.513,0.035,0.08,0.062,15.61,-0.758,-0.48,22.56,15.106
E10000027,Somerset,17.783,0.0796,0.113,0.1,20.03,-0.263,-0.397,25.496,24.111
E10000028,Staffordshire,16.38,0.0912,0.112,0.102,20.592,-0.106,-0.352,17.99,16.595
E10000029,Suffolk,18.314,0.1052,0.114,0.098,25.229,-0.297,-0.303,24.098,21.13
E10000030,Surrey,9.386,0.007,0.07,0.06,11.608,-1.03,-0.375,20.292,13.362
E10000031,Warwickshire,15.006,0.0598,0.102,0.087,17.029,-0.263,-0.186,20.485,18.075
E10000032,West Sussex,14.027,0.0418,0.097,0.084,18.235,-0.517,-0.328,21.771,14.708
E10000034,Worcestershire,17.704,0.1143,0.116,0.1,19.171,-0.262,-0.282,26.195,19.261
